BLOCK_TIMESTAMP,TX_ID,USER,SWAP_IN_AMT,SWAP_OUT_AMT,TOKEN_IN,TOKEN_OUT,TOKEN_IN_SYMBOL,TOKEN_OUT_SYMBOL,TOKEN_IN_USD,TOKEN_OUT_USD,SLIPPAGE
2021-08-02T09:45:56Z,0x17d12f3d050d29efa81f6516ba7d51c9bf79794b5342517cd9279feffe695331,0x191d2a18bca84a5741c292b7744544f4e4d95ca0,10000,9989.762914833438,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6b175474e89094c44da98b954eedeac495271d0f,USDT,DAI,10003.698059992777,9999.813608400455,0.019418848333818035
2021-08-02T09:26:03Z,0xf4cf2653138931926ac94245f7184ca819ebd6783fed67a4821e072cafe9dbfa,0xc561c9b7035732b4ebdbae6ac43d6a293ab53896,58.046395,58.023073,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,USDC,USDT,57.96671327293654,58.044530280491934,-0.06707712560598285
2021-08-02T09:24:39Z,0xa277b7698bf9d152377ecddcb3f7108d5e0f5533ed6e1f216779e2ae2ecb0960,0xc176761d388caf2f56cf03329d82e1e7c48ae09c,43890.933574475086,43913.831128,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,DAI,USDC,43935.092212421565,43853.54952211815,0.09288523969876443
2021-08-02T09:23:57Z,0x1421adef6997f216c9e441f150cf566ccb3d16d0d2e01bdcc12f7ea7f47ed1fc,0xcb4bef1df8d494de6ad61e1648cd627da9699762,3670007.367751,3666320.982290187,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6b175474e89094c44da98b954eedeac495271d0f,USDT,DAI,3671364.5584929883,3670009.6652975287,0.01845558003389803
2021-08-02T09:19:01Z,0xc60a4b5391436a7ca8e1ab6677df9ebd0faaee27faf93caa2ff81632bb86e225,0x3c180e4d4de2ef4c308a73979a9b446b12505a6e,31940,31933.768391,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDT,USDC,31951.811603616934,31889.932114569063,0.09692637676223768
2021-08-02T09:06:20Z,0x40e714b7e1518d478cf94e376174e652f45d8a349d6d2d6efc944b010ad9b2de,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,36022.439164,35986.968865254494,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6b175474e89094c44da98b954eedeac495271d0f,USDT,DAI,36035.76047811147,36023.17532976762,0.017465076610910332
2021-08-02T08:57:13Z,0x8d4f2e30f4e90ae1d5a1e71f58183bbd8b9f441b14eee26830798851ff88c1ab,0x0000000000f4def5f3572c846b1483daf4588d8f,56761.609053,56705.74861585325,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6b175474e89094c44da98b954eedeac495271d0f,USDT,DAI,56776.1131218491,56762.02851465652,0.012405176788668267
2021-08-02T08:55:40Z,0x74156d9a15aede24db7ecc1d3804609a7019b4a11a3ef5fcf69f399be80478fd,0x0000000089341e263b85d84a0eea39f47c37a9d2,261.908228,261.857063,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDT,USDC,261.9751523707928,261.44663008831236,0.1009744531451014
2021-08-02T08:53:59Z,0x933122ac0589f49f9166236b5cb7831319002d3df2cddc6dd7adfb0f6592dd4b,0x0000000000f4def5f3572c846b1483daf4588d8f,61158.802868,61146.858198,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDT,USDC,61174.43053434571,61051.017044191765,0.1009720091838018
2021-08-02T08:53:19Z,0xd0d7aa7c5da2b17d407d7856269eaf9266c5c99473b5f571ff7f66600b8c1b42,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,240326.382219,240229.16508,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,USDC,USDT,239949.69634434974,240290.54988582234,-0.07097563024928995
2021-08-02T08:50:27Z,0xec38c42988c9ae6b367200a9e82da826e51236493d9911126de364a9d72c4af0,0x21c2ff89b57a048aec9111de23698ffaf67c419f,10000,10004.888842,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,DAI,USDC,10009.924901826893,9989.207249869207,0.1035927549282632
2021-08-02T08:48:32Z,0x2906fdc5b0a68e76dc4823f5d55714fc1ae00c5c4dd8cfed87a7d514bc0a007e,0x0000000089341e263b85d84a0eea39f47c37a9d2,28789.88209,28784.239021,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDT,USDC,28797.23865439198,28739.122807991447,0.10100716298948897
2021-08-02T08:42:45Z,0xc13ba5110817d6225cba3a4fa901b4c4cfdfdf176ef90384a1f7566cdf32e222,0xc176761d388caf2f56cf03329d82e1e7c48ae09c,40010.383836,39966.8541773555,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6b175474e89094c44da98b954eedeac495271d0f,USDC,DAI,39947.67184287133,40006.52088775949,-0.07360345077390616
2021-08-02T08:41:55Z,0xa26fd68ce064cc3639d883d7b84920aaed48309628e777343aa72342bf737e41,0x0ffeb87106910eefc69c1902f411b431ffc424ff,4000000,3998399.262893,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,USDC,USDT,3993730.428242256,3999420.9579993,-0.07119256826336691
2021-08-02T08:40:50Z,0x26f938f18e789cb5acc9941c4ae8641866eefb2d057f86242bcd5a17413c1d29,0x0f9cb53ebe405d49a0bbdbd291a65ff571bc83e1,250358.043393,250258.829995,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,USDC,USDT,249965.6339634548,250322.77764132118,-0.07138755757319404
2021-08-02T08:29:42Z,0x814d59cc2630a73e8fba8f1507a4bc59059dba74fec58af4d4fb71ae5d518b23,0x4a14347083b80e5216ca31350a2d21702ac3650d,233644,233734.933167,0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7,DAI,USDT,233875.88937624425,233794.65852749723,0.017369246173640576
2021-08-02T08:11:01Z,0xeee2cd3914aad2d08c47fec85e3fd52b918fd07a59e1d82febd9f471077f4535,0x8851924938db253c2602cfb473c33b88deb83c43,560680,560899.910784,0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7,DAI,USDT,561236.4693956302,561043.2353137162,0.01721799664585351
2021-08-02T08:09:55Z,0x84951f4e6c80834a162c520dc0057c8f4a4166e7c1ac6d6997cd9aca0d061e90,0x67971afac5ba6fc8a95c218e19e86282deb82f0a,299992.5,299874.045276,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,USDC,USDT,299522.29387361626,299950.67090151174,-0.07145894028034563
2021-08-02T08:06:01Z,0x47629208e3774f82d0afca1a36dc9a7244b24ad0cb289f45dc0560fb5c05ae5e,0xc176761d388caf2f56cf03329d82e1e7c48ae09c,28796.317095,28764.984023373134,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6b175474e89094c44da98b954eedeac495271d0f,USDC,DAI,28751.181950903538,28793.532987621544,-0.07359674431135789
2021-08-02T07:53:21Z,0x78a5e3eb12ca1631f28851fd0c79b75e36769cabc65ca6a1e59dcb3fdf753fc9,0xf800d8407b1488bb6dc3789c2d45147c25c38af5,3000,2999.383672,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDT,USDC,3004.269648991739,3001.7259831642464,0.04235210918026303
2021-08-02T07:39:56Z,0xba0fc2ee95ddf8143c0124ef6333d6249be1bbafb65d6165acac6805658aed6c,0xc176761d388caf2f56cf03329d82e1e7c48ae09c,57544.379682,57482.14313493491,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6b175474e89094c44da98b954eedeac495271d0f,USDC,DAI,57589.31786187577,57615.59065891618,-0.0228052757280512
2021-08-02T07:36:36Z,0xd1d6b3d40fa63f9b1c678770a870bc9e4e2f07cef43a1520d08e5615d3817fc4,0x4a14347083b80e5216ca31350a2d21702ac3650d,6020,6017.64486,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,USDC,USDT,6024.701203564051,6026.209270436381,-0.012514132235767299
2021-08-02T07:33:23Z,0x366ef6526ee346b14137ff97b8a254c72630c0ca836cff18090ff0cd3f1ea2c5,0x4a14347083b80e5216ca31350a2d21702ac3650d,4701.97668,4700.993319,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDT,USDC,4708.66860999698,4704.664469589014,0.04253690349755151
2021-08-02T07:33:22Z,0x48f6ebb6f2d07e3490b13766551cc11d44e01e6608e31c157c6c61dfae17d8b1,0x13b37d355cdf1eacefa26a56d6c754ddd0c9e699,10000,10004.816283,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,DAI,USDC,10023.215474702816,10012.629352429787,0.05283591665020955
2021-08-02T07:32:06Z,0x08c0b59ba688f2e41debd2d6ae28f191ff826aa3f4cb1ffc7c77bddb5b11c086,0x4a14347083b80e5216ca31350a2d21702ac3650d,10000,9996.091408,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,USDC,USDT,10007.809308245933,10010.318008533832,-0.012532142733432325
2021-08-02T07:31:29Z,0x2188fe4010e7a134d49143034ba68733faf0d7e62bb83f32681fb5c64279f618,0xb8037ec21f96fa3911967017084dc25f4a733d77,1001,1000.790667,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDT,USDC,1002.4246395469102,1001.5722152808255,0.042536207780522126
2021-08-02T07:29:45Z,0xa5c4f772552c181bbb2f3dfad6895e591ebf70c181316cb9c31da542a67b6b69,0x4a14347083b80e5216ca31350a2d21702ac3650d,10000,9996.091394,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,USDC,USDT,10007.809308245933,10010.317994513907,-0.01253207270606521
2021-08-02T07:22:27Z,0x62495df3b0d4a8b0de74e76a8943caa60ed35aeedd24f62042c50a1c3dfec2eb,0xefd27539a896ef7ec5863c5f1949f653720dbf3b,137921.345364,137772.50854555864,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6b175474e89094c44da98b954eedeac495271d0f,USDC,DAI,138029.0523939641,138092.35396424693,-0.022925267228536283
2021-08-02T07:13:58Z,0xd7901902e94fd4b5dedc2fbd1d2d2bd157a0b1ede05b48f692bb510e86f7843a,0xf5ad4cf3d70b7d4d2288a570463c38d1a3bdc238,20005,20000.81506,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDT,USDC,20033.471442693244,20016.434312997342,0.04253974978076248
2021-08-02T07:10:28Z,0xef2139f064a8ace10dcc0765f1a95addea57a4fa44f31fa4348d7921456e4d04,0xf8c9cf133252a1a0b2c4b527381eaa94eaef62a6,10000,9997.908327,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDT,USDC,10014.232163305796,10005.71600179401,0.04253837942813835
2021-08-02T07:07:56Z,0xd513c23fa856537d9df4a0f9f0d42984a14da3ad49aa601a3e4048399295dbf2,0xc176761d388caf2f56cf03329d82e1e7c48ae09c,20000,19978.419987942292,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6b175474e89094c44da98b954eedeac495271d0f,USDC,DAI,20015.618616491865,20024.800838325522,-0.0229323817249666
2021-08-02T07:03:16Z,0x9e190818c6c770a15b17082f3a6babd516fba750f38756071a00f628cc305068,0xf8c9cf133252a1a0b2c4b527381eaa94eaef62a6,10000,9997.908068,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDT,USDC,10014.232163305796,10005.71574259175,0.04253967469883994
2021-08-02T06:58:47Z,0xea20b8a8ec5e9507c11abdd3dc924cb2e057ec2d80f7653a7b1040f3b5f37065,0xec7fc03693d1a0f7dcb42e687b0c7d4f980cf01e,29261.54565,29255.419756,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDT,USDC,29275.177039382783,29265.02353302292,0.017344502172153577
2021-08-02T06:57:42Z,0xd5b7ea69df79f564137a94378a7e203e256d07e6bde884cc5ba55c145327b36d,0x0000000000f4def5f3572c846b1483daf4588d8f,30718.75,30706.750002,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,USDC,USDT,30728.83414946302,30721.05463480934,0.012659932845425154
2021-08-02T06:48:11Z,0x31fb68bdbace2f0f71a99ac56fbb53863bf78e905736a99303d1d2577d0204fa,0x3fa2b30bfa5816b115b648d42955d3c3cb7bc368,1001.849641,1001.458283,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,USDC,USDT,1002.1785216191436,1001.9248088619443,0.012659664466422773
2021-08-02T06:43:45Z,0x9cdbf6e7050d317f1e4b611c2e240461179787812172399a90e7ad0dcee158bf,0x0000000000f4def5f3572c846b1483daf4588d8f,79305.636103,79220.0620915486,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6b175474e89094c44da98b954eedeac495271d0f,USDC,DAI,79331.67003627274,79316.13889578554,0.00978969743846625
2021-08-02T06:42:00Z,0x83dbd14a2d2666b288a3d791d858cef9dc195aaa67932cf6f5813f171c191c55,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,38438.38021,38396.92255707576,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6b175474e89094c44da98b954eedeac495271d0f,USDC,DAI,38450.99850895924,38443.48972092819,0.009765053651956257
2021-08-02T06:34:09Z,0xe4f3813df41b048fb86f110fd2b62a5ec94cf15db29231b5efb6c5c57f444849,0x3fa2b30bfa5816b115b648d42955d3c3cb7bc368,1012.055632,1011.660415,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,USDC,USDT,1012.3878629748273,1012.1316934896928,0.012653347028261598
